Arquivo,Modelo,Analise
pipes/assistant-ui-ollama-openai-screenpipe/app/api/chat/route.ts,CodeT5,"const= await pipe.settings.getAll().find((preset) => preset.defaultPreset)if ( ! aiPreset.apiKey) {error: ""no api key found) {}// check if aiPreset isif ( ! aiPreset.apiKey) {return NextResponse.json({ error: ""noapi key found"" }, {status: 400 });// check ifif ( ! aiPreset."
pipes/assistant-ui-ollama-openai-screenpipe/app/api/click-by-index/route.ts,CodeT5,") { const= await browserPipe.operator.clickByIndex(2);console.error(`clicked element at index ${index}`);return NextResponse.json(
        { error:status: 400 }
} catch (e) {return NextResponse.json(
error:}} catch (e) {return NextResponse.json(
} catch (e) {return NextResponse.json"
pipes/assistant-ui-ollama-openai-screenpipe/app/api/component-source/route.ts,CodeT5,". json ( { error:error: 'file not found' },} catch (e) {return NextResponse.json({ error: 'filenot found' }, { status:} catch (e) {return NextResponse.json({ error: 'file noterror: 'file not found' },} catch (e) {return NextResponse.json({ error: 'fileerror: 'file not found' },"
pipes/assistant-ui-ollama-openai-screenpipe/app/api/fetch-external/route.ts,CodeT5,"request.nextUrl.searchParams.get(""content"");http://www.google.com/analytics.js/analytics.js/analytics.jshttp://www.google.com/analytics.js/analytics.js/analytics.js/analytics.jshttp://www.google.com/analytics.js/analytics.js/analytics.js/analytics.jshttp://www.google.com/analytics.js/analytics.js/"
pipes/assistant-ui-ollama-openai-screenpipe/app/api/get-interactive-list/route.ts,CodeT5,= await browserPipe.get(windowName).then(async function (result:{ console.log(result.error); return NextResponse.json(result.status);{ console.error(result.error); return NextResponse.json(result.status); }{ console.error(result.status); return NextResponse.json(result.status); }{ console.error(result.status); return NextResponse.json(result.
pipes/assistant-ui-ollama-openai-screenpipe/app/api/get-text/route.ts,CodeT5,} catch (e) { console.error(e);} catch (e) {console.error(e);} catch (e) { console.error(e);} catch (e) { console.error(e);} catch(e) { console.error(e);} catch(e) { console.error(e);console.error(e);} catch(e) { console.error(e
pipes/assistant-ui-ollama-openai-screenpipe/app/api/locator/route.ts,CodeT5,"( request: Request) {// Getapp: app,app: app,role: role,app: app,app: app,app: app,app: app,app: app,app: app,app: app,app: app,app: app,app: app,app: app,app: app,app: app,app: app,app:"
pipes/assistant-ui-ollama-openai-screenpipe/app/api/log/route.ts,CodeT5,"const texts = texts.filter(c =>c.text === """" && c.text=== """" && c.text=== """" && c.text=== """" && c.text=== """" && c.text=== """" && c.text=== """" && c.text=== """" && c.text=== """" && c.text=== """" && c.text=== """" && c.text=== """" && c.text"
pipes/assistant-ui-ollama-openai-screenpipe/app/api/press-key-by-index/route.ts,CodeT5,"return NextResponse.json({ ""element_index"":""key_combo"": keyCombo, ""element_index"": index, ""key_combo"":key_combo: keyCombo, ""element_index"": index,""element_index"": index, ""key_combo"": keyCombo, ""element_index"":""element_index"": index, ""key_combo"": keyCombo, ""element_index"":key_combo: keyCombo,"
pipes/assistant-ui-ollama-openai-screenpipe/app/api/settings/route.ts,CodeT5,"pipeName :pipeName :pipeName : pipeNamepipeName: pipeName,pipeName: pipeName,pipeName: pipeName,pipeName: pipeName,pipeName: pipeName,pipeName: pipeName,pipeName: pipeName,pipeName: pipeName,pipeName: pipeName,pipeName: pipeName,pipeName: pipeName,pipeName: pipeName,"
pipes/assistant-ui-ollama-openai-screenpipe/app/api/type-by-index/route.ts,CodeT5,"error:error: typeError,error: typeError,} catch (e) {return NextResponse.json({error: typeError, status: 400 }} catch (e) {return NextResponse.json({error:error: typeError, status: 400 }return NextResponse.json({error: typeError, status: 400 });} catch (e) {return NextResponse.json({"
pipes/assistant-ui-ollama-openai-screenpipe/app/assistant.tsx,CodeT5,") => {<AIPresetsDialog pipeName=""hello-world-computer-use"" /><AIPresetsSelector pipeName=""hello-world-computer-use"" /><AIPresetsDialog pipeName=""hello-world-computer-use"" /><AIPresetsSelector pipeName=""hello-world-computer-use"" /><AIPresetsDialog pipeName=""hello-world-"
pipes/assistant-ui-ollama-openai-screenpipe/app/hello-world-mcp-client/WIP-interface.ts,CodeT5,"console.log(""desktop control client started"");
console.log(""desktop control clientconsole.log(""desktop control clientconsole.log(""desktop control clientconsole.log(""desktop control clientconsole.log(""desktop control clientconsole.log(""desktop control clientconsole.log(""desktop control clientconsole.log(""desktop control clientconsole.log(""desktop control clientconsole.log(""desktop control clientconsole.log(""desktop control"
pipes/assistant-ui-ollama-openai-screenpipe/app/hello-world-mcp-client/WIP-tool-execution-logic.ts,CodeT5,"console.log(`executing tool ${toolName} with args:console.log(`tool result: ${JSON.stringify(result)}`);
console.log(`tool result: ${JSON.stringify(result)}`);
console.log(`tool result: ${JSON.stringify(result)}`);
console.log(`tool result: ${JSON.stringify(result)}`);
console.log(`"
